1;Знакомство со средой. Основы переменных и ввода-вывода, первые программы
2;Условный оператор
3;Простые встроенные функции
4;Знакомство с циклом while
5;Отладчик
6;Знакомство с циклом for
7;True, False, break, continue
8;Вложенные циклы
9;Множества
10;Строки. Индексация
11;Строки. Срезы
12;Знакомство со списками
13;Кортежи. Преобразование коллекций
14;Методы split и join. Списочные выражения
15;Методы списков и строк
16;Вложенные списки
17;Знакомство со словарями
18;Практика по работе с графикой и tkinter
19;Функции
20;Функции. Возвращение значений из функций
21;Области видимости переменных
22;Функции: передача параметров
23;Функции с переменным числом аргументов
24;Функции как объект. Лямбда-функции
25;Обработка коллекций. Потоковый ввод sys.stdin
26;Библиотеки Python. Часть № 1 (random)
27;Библиотеки Python. Часть № 2 (графика)
28;Библиотеки Python. Часть № 3 (графика + звук)
29;Библиотеки Python. Часть №4 (морфология)
30;Библиотеки Python. Часть №5 (документы)
31;Библиотеки Python. Numpy
32;Введение в ООП
33;Введение в ООП. Полиморфизм
34;Определение операторов
35;Переопределение функций и декораторы
36;Рекурсия
37;ООП. Наследование
38;ООП. Наследование. Часть №2
39;Проектирование и разработка классов. Часть №1
40;Проектирование и разработка классов. Часть №2
